comment_id,video_id,channel_name,author_channel_id,comunidad_video,n_palabras_lexico,score_sentimiento,clase_sentimiento,contiene_negador
Ugw-J65a1iYL9hqhELh4AaABAg,j43HgwYFKfk,Quorum,UCdFlugHJJa4l3YqWuNRmvXw,2,0,,sin señal léxica,False
Ugw-ZT9t9wU2V-tCaUZ4AaABAg,06mFNPU0aB8,Noti7,UCvl1tzQeBeGy6efPTRJXSCw,8,4,0.75,positivo,True
Ugw0xaOb2CYXXoudtwJ4AaABAg,j43HgwYFKfk,Quorum,UCRAquv8el-tQ30bN7MlmySQ,2,2,-1.5,negativo,True
Ugw0xgUc2ISpBr5_T654AaABAg,j43HgwYFKfk,Quorum,UCkbsS_3D-pvg1iHOld9uvIg,2,2,0.5,neutro,False
Ugw1ZzA21njWhaqQQTh4AaABAg,OkXlHx0hx-8,Noticias Telemundo,UCOLHH4ZpMxPYF-Q6e6wvn5A,6,0,,sin señal léxica,False
Ugw1ZzA21njWhaqQQTh4AaABAg.Aa9Tf29tBouAaB_XZQglTL,OkXlHx0hx-8,Noticias Telemundo,UCi2KiZq63sRq8Mfbcp-MelQ,6,0,,sin señal léxica,False
Ugw2014OIYf336oytFt4AaABAg,yLZS3JiEBg8,Quorum,UCXl30Y_upRqbti52fmjK4YA,3,0,,sin señal léxica,False
Ugw2bSVOoNn2pc8ZcUl4AaABAg,n8iP75gIpmw,Quorum,UCRelkU8JiZBytTzebJxaa-w,1,0,,sin señal léxica,False
Ugw3gnUvLp6AqO0_odt4AaABAg,lj983NWyAQY,Municipalidad de Guatemala,UCgLurCo-e019HGODcjXHWCw,5,1,1.0,positivo,False
Ugw4C1ijI36l6LAiSZh4AaABAg,n8iP75gIpmw,Quorum,UCDIMztpVm7G27qBuiWuT6oQ,1,0,,sin señal léxica,False
Ugw4St_YnT9_Ya5xSPt4AaABAg,ndAZjHqzzT8,Quorum,UCZOmq6MwFDVoCaEl99BRRaw,3,4,-1.25,negativo,False
Ugw4ccnmIWJaE6VNRWN4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,UCFybmWapGvBKcQod7cPPH9w,4,1,2.0,positivo,False
Ugw5E402-fn52PLXFIJ4AaABAg,n8iP75gIpmw,Quorum,UCh5ESQvtzyHDhCA7XyekCFA,1,3,-1.5555555555555556,negativo,True
Ugw5URsiAF9QVoniY-l4AaABAg,n8iP75gIpmw,Quorum,UCWIZUtKJ636y-4TYrNvok0g,1,1,-1.0,negativo,True
Ugw5xMAuDaygo77ynI94AaABAg,n8iP75gIpmw,Quorum,UCzoL2l5H5eVlorWGH8AZfAg,1,3,-2.0,negativo,True
Ugw6cfXYfV4H-asKlDR4AaABAg,TT4qJ5FXHYE,Quorum,UCKVzDUqbtdSMBcexaEtMmzQ,11,5,-1.4,negativo,True
Ugw74asIfir0_SVC6OB4AaABAg,j43HgwYFKfk,Quorum,UCNpt5CQlTzNjlAKY6CJtClQ,2,1,-2.0,negativo,False
Ugw86zOgTwKzYotlT9l4AaABAg,n8iP75gIpmw,Quorum,UCut6b9S98nv84cVX89PmKzA,1,3,-0.6666666666666666,negativo,False
Ugw8iZ_G2Cwq-9ZYctt4AaABAg,j43HgwYFKfk,Quorum,UCQyOePccUP-fIJYzchAgZYw,2,1,1.0,positivo,False
Ugw8pyxscJNUQpfoKuF4AaABAg,n8iP75gIpmw,Quorum,UCOLGv5Pf6BF2wFcwUzgcvHg,1,2,0.0,neutro,True
Ugw9_Qw_QaSdggWuKJt4AaABAg,06mFNPU0aB8,Noti7,UCAxvOOHQk7dYPOajzFEVtbA,8,1,-1.0,negativo,True
Ugw9eye2GML6RHRSu-14AaABAg,n8iP75gIpmw,Quorum,UCQ_-LPP8JAbfkc-b1Q6NvWw,1,2,0.5,neutro,False
UgwA5aTmgACLCuTUT494AaABAg,lj983NWyAQY,Municipalidad de Guatemala,UCXmrpc6Li0spcKxtS0Q_ptg,5,3,2.0,positivo,True
UgwARHTnVAzzPrHbNox4AaABAg,n8iP75gIpmw,Quorum,UCZ51R_9Q9C0c8I3pAWhtmjQ,1,1,3.0,positivo,False
UgwBIwUPLGxEWAu3Mh14AaABAg,X_FAIef8qlE,Quorum,UCPLW0HE3siElqCgXfgWxMqg,14,2,-1.0,negativo,True
UgwCW5PErySUmwse3bZ4AaABAg,OkXlHx0hx-8,Noticias Telemundo,UCxhtlxPV8AYWaNNyU6S9H8Q,6,1,3.0,positivo,False
UgwCfRlzeiXz172UQQV4AaABAg,yLZS3JiEBg8,Quorum,UCvcu1kR8xMYy_I1Ty-2mV2Q,3,2,2.0,positivo,False
UgwCw9bhAw6suYQfCWx4AaABAg,j43HgwYFKfk,Quorum,UCaKAjTW9MVub_clgr4DRYjQ,2,0,,sin señal léxica,False
UgwEOUk-ofXNqkHW5Cx4AaABAg,n8iP75gIpmw,Quorum,UCxff05WuyvwELNITi7bj7UA,1,1,-1.0,negativo,True
UgwEQHx8Ik7SbxBTQ914AaABAg,n8iP75gIpmw,Quorum,UCZLG9qH0tUjNhEGFIUt0CYw,1,0,,sin señal léxica,False
UgwEjfj5ueeimHg-Hbt4AaABAg,j43HgwYFKfk,Quorum,UCwgCc9Jd_gG-uLE_SY-FfPg,2,1,-1.0,negativo,True
UgwG3XiEgFlHKtrtTqd4AaABAg,n8iP75gIpmw,Quorum,UCXSkL3ejZ8qWYyF_M7s_QKA,1,0,,sin señal léxica,True
UgwGm1V-_GN1ZPcijdl4AaABAg,n8iP75gIpmw,Quorum,UChs3tU2BcKOT0CezykvAsGw,1,2,-1.5,negativo,True
UgwHY5LtTiQ0lBONp8N4AaABAg,n8iP75gIpmw,Quorum,UC6PvO1_k5lHKGdAPo5_C6TA,1,2,-2.375,negativo,True
UgwIB06iEQnFOFLc9et4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,UCwxoKK59nGCeBqB2sXfDBIw,4,5,-1.2,negativo,True
UgwIB06iEQnFOFLc9et4AaABAg.Aa-0m2jDJt2Aa42DVzs9Zy,6W4u8sGEnGM,Gobierno de la República de Guatemala,UCWaRixDdpgllTBf4V0jPnKQ,4,4,-1.25,negativo,True
UgwIBBqN6fh6MURkwkN4AaABAg,j43HgwYFKfk,Quorum,UCkVtmkK07b2zaVVNssX4lOg,2,3,-1.0833333333333333,negativo,False
UgwIiqrp6EYNoFmnBAR4AaABAg,n8iP75gIpmw,Quorum,UCN6qbfPSzFtjhqUDZ3Cv3CQ,1,2,0.5,neutro,True
UgwIlv8gtF3WKYfHSJJ4AaABAg,j43HgwYFKfk,Quorum,UC95PSMouTx2N5CbSq0hIyrQ,2,0,,sin señal léxica,False
UgwJ4UehO5E4j0niJU14AaABAg,n8iP75gIpmw,Quorum,UCueV9cTyTDwgQSec1x2dYgA,1,1,-2.0,negativo,False
UgwJMFYT7I9czw_oa0V4AaABAg,n8iP75gIpmw,Quorum,UC5H8ASmMC9WrURmzeB4ySog,1,1,-1.0,negativo,True
UgwJN55EmMcKPRb_AfB4AaABAg,n8iP75gIpmw,Quorum,UCHhHUjaMAZ8SiXdCUCj9DkQ,1,8,0.25,neutro,True
UgwKjHT5lyjLiqR9ym94AaABAg,n8iP75gIpmw,Quorum,UCgvw7xIdGFupzpt1Y_BFkEA,1,2,1.0,positivo,False
UgwL_UlN82zRUeNgVDh4AaABAg,j43HgwYFKfk,Quorum,UCeDNEtI8_a42bZ47wJiJMwQ,2,0,,sin señal léxica,False
UgwMfCTNaiukOxMqfON4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,UCiOZX__1gahg1ypIj0_XG_w,4,0,,sin señal léxica,False
UgwNvErOoJ_qRYF6TB94AaABAg,j43HgwYFKfk,Quorum,UCqCrvuoJpC-aVb0f4logQRQ,2,2,1.0,positivo,True
UgwO8kzHC551ofxNYCV4AaABAg,TT4qJ5FXHYE,Quorum,UCld2stqxaVSk0QdGncM224A,11,2,3.0,positivo,False
UgwPCZZx2gI444cg2AV4AaABAg,n8iP75gIpmw,Quorum,UCpIdtvoFHVLGASGB5ySqIEA,1,2,-1.5,negativo,True
UgwRLgDGrh-_TEVNOYh4AaABAg,OkXlHx0hx-8,Noticias Telemundo,UCtiHFjFu7d5v2XxHnKFUYig,6,1,2.0,positivo,False
UgwSDn5aIUEZwOlx9c94AaABAg,zweosulrwA8,Quorum,UCQM2tCKRRytVDRxNUfCDqQQ,15,0,,sin señal léxica,False
UgwSt406Q1HWBWCewI14AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,UCWvntqPQx99k_Z_skWKqNSA,4,0,,sin señal léxica,False
UgwSt406Q1HWBWCewI14AaABAg.Aa-KmSVE5UgAa-M7iXQwik,6W4u8sGEnGM,Gobierno de la República de Guatemala,UCoGdCoJg2Lh0OX_jv6cG16g,4,1,2.0,positivo,False
UgwTyYcT2aNvGA5DK4J4AaABAg,n8iP75gIpmw,Quorum,UChgkn5Jt5tWKYMoEOuCjz3Q,1,0,,sin señal léxica,False
UgwUZL4XYbr2lbEi1r94AaABAg,j43HgwYFKfk,Quorum,UCiC-Jn7wdgyQV4_Urk0DkWQ,2,1,-1.0,negativo,False
UgwXm2HjtCzRKiDHflJ4AaABAg,JkpVO1hx2f8,Quorum,UCQIdKuZ-OzuFqy0KjGrgesg,12,1,-2.0,negativo,False
UgwY0wdDJRzHsTCnLbN4AaABAg,n8iP75gIpmw,Quorum,UCXr8_5WtGeipe4haOoQDgyQ,1,4,1.0,positivo,False
UgwY2FW-3sBGV2CGxaJ4AaABAg,06mFNPU0aB8,Noti7,UC_3xuTXvMIWU5MYP9HkJ3vQ,8,2,2.0,positivo,False
UgwYTL5-XYvmQxsC3Bt4AaABAg,n8iP75gIpmw,Quorum,UCFjudnPLoaSL1BaRuLahyHg,1,2,-1.0,negativo,True
UgwYaHf9EYIl5Pf-y514AaABAg,n8iP75gIpmw,Quorum,UC-pNP6RMFuLg_-x7Ah_0kEA,1,1,2.0,positivo,False
UgwZw9X6DpxCIJ6YkXZ4AaABAg,PjmxCj-a9Hg,Gobierno de la República de Guatemala,UC1Y7x3h0c95Z8kUhi-Tzaeg,7,4,-0.75,negativo,True
Ugw_g00Bv3m-cnSxhMp4AaABAg,OkXlHx0hx-8,Noticias Telemundo,UC1WlJfQmaIskYhP4gmWoamw,6,3,-0.3333333333333333,neutro,True
Ugw_wfk-1nUcdyG3muZ4AaABAg,n8iP75gIpmw,Quorum,UC3MYTqpQqlWBuCB7Th0e0PA,1,1,3.0,positivo,False
UgwaGYcI3FekgL1PZct4AaABAg,j43HgwYFKfk,Quorum,UCOcUI5XkTYNMSFhZNMIPpGg,2,2,0.0,neutro,False
UgwaokeDKlLgSdqHpW94AaABAg,n8iP75gIpmw,Quorum,UCOS8ViEkccrTZx2w2ccxotA,1,1,-1.0,negativo,True
Ugwbnz3tRoBa7Vs3A3d4AaABAg,b_Hkrkl3adA,PrensaLibreOficial,UC3iIU62XKUOWuqL8BqBzj9A,9,2,-0.5,neutro,False
Ugwc0TMrFYylioxh_Sh4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,UCV3fr-YOixFKCZBbJP1-X4w,4,2,1.0,positivo,False
UgwcF8V3__81jxC8Eh14AaABAg,n8iP75gIpmw,Quorum,UCmjppp6ujz3SAnULvP3sZMw,1,1,-1.0,negativo,True
UgwdC_aDdYB1wpgGNAt4AaABAg,lj983NWyAQY,Municipalidad de Guatemala,UC5PyGvSfFM--OVKmQ3COu6g,5,0,,sin señal léxica,False
Ugwe0V0ssRP-r167Lzh4AaABAg,n8iP75gIpmw,Quorum,UCQqetiwzzmRNTM5OWuXarGQ,1,2,-1.5,negativo,True
UgwgSP2G2qKwGGl5CSp4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,UCV3fr-YOixFKCZBbJP1-X4w,4,2,0.5,neutro,True
UgwgoKatyznihVvDVVd4AaABAg,n8iP75gIpmw,Quorum,UCCaYwkkbQGcvFoUmothVdQQ,1,6,1.6666666666666667,positivo,True
UgwguqWom06c5opgpiF4AaABAg,n8iP75gIpmw,Quorum,UCQgYjVngJRfPHDLGB5X6ZjA,1,3,0.3333333333333333,neutro,True
UgwhphOY9n46ofElDut4AaABAg,PjmxCj-a9Hg,Gobierno de la República de Guatemala,UCN2N_wYOw6fMwCeSzdXLPIw,7,2,0.5,neutro,False
UgwiGxmosawIyTVTjnB4AaABAg,n8iP75gIpmw,Quorum,UC9vMq1YF-e7C-VO0SHkbUTA,1,2,-2.0,negativo,False
Ugwih8O9PeaJ_zd7FWV4AaABAg,n8iP75gIpmw,Quorum,UC8F2V63KZ4ZEay6opX2hAQw,1,6,-1.1666666666666667,negativo,True
Ugwije36G_n35mshRfp4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,UCheEJ5GZuIvV0fj-nXyVwXw,4,2,0.5,neutro,True
UgwjKxflp7TiD0e7_494AaABAg,n8iP75gIpmw,Quorum,UCujPF2nBgsTD62nWE3lcpIg,1,2,-1.5,negativo,True
Ugwjtq_DUb6ISU-ppsh4AaABAg,n8iP75gIpmw,Quorum,UChs3tU2BcKOT0CezykvAsGw,1,3,1.1666666666666667,positivo,True
UgwkiP4fW1xfpXbZcV14AaABAg,n8iP75gIpmw,Quorum,UCV0iizTBoOfdAFX_thfI9BA,1,1,2.0,positivo,True
Ugwm9VajlW3ydbsf-BJ4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,UCp29O_C7cchZV8IxV7Crdag,4,1,3.0,positivo,False
UgwmvtMMEFg5rWbrmtV4AaABAg,yLZS3JiEBg8,Quorum,UCkxdJ_yGN2gghOMo2ybQtXQ,3,2,-2.0,negativo,True
UgwnCwptihjhFCfQK_l4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,UCjZgFEowMBrsjodqfovzdKw,4,1,3.0,positivo,False
UgwopmNYOXxE5kyT7fF4AaABAg,n8iP75gIpmw,Quorum,UC4wq3DcbfaG6dtCqn8Oyu3w,1,0,,sin señal léxica,False
UgwovhZaCiV0r6XOH_R4AaABAg,ndAZjHqzzT8,Quorum,UCVC2QugcI1G4RvlCiUqd1aQ,3,1,3.0,positivo,False
UgwoyDvqZ6NlBCvXB7t4AaABAg,yLZS3JiEBg8,Quorum,UCXVLc8CmAO813ubM-fLvCDw,3,0,,sin señal léxica,False
Ugwp1SacIqA0qS_netd4AaABAg,n8iP75gIpmw,Quorum,UCwW2OFy95P7ZBkOPxWkpvYg,1,1,-1.0,negativo,True
UgwpY9PE_PBfwa2_g_N4AaABAg,n8iP75gIpmw,Quorum,UC3XTwHxygNCgjndsg-UiCQA,1,3,-0.6666666666666666,negativo,False
Ugwqsca_nj4eGguiyTJ4AaABAg,j43HgwYFKfk,Quorum,UCgQw_Sbq3ugruDUKsq1e0-A,2,1,3.0,positivo,False
UgwrIvqGid-S983oU9J4AaABAg,n8iP75gIpmw,Quorum,UCL13XhnRzbGokEkCkEOb0-g,1,2,-0.5,neutro,False
UgwsCWap2Jq1pNrLOWl4AaABAg,n8iP75gIpmw,Quorum,UCQtSFINs1h6GHkpg9o5kMvg,1,1,2.0,positivo,False
UgwtcR5U0FAkeZsiVVt4AaABAg,06mFNPU0aB8,Noti7,UC2ngpd8UBQu4gcUYy0goAtg,8,0,,sin señal léxica,False
Ugwvm2HYh08HI1HkcXV4AaABAg,PjmxCj-a9Hg,Gobierno de la República de Guatemala,UC7IMsCxfZyWN7YQo8-JYa6Q,7,4,1.75,positivo,False
UgwvvK1L0aLOhCMUzfN4AaABAg,n8iP75gIpmw,Quorum,UCzSfZlOVxBSs5ObD25ywxDQ,1,1,-1.0,negativo,True
UgwwH4OIcVCCN6SbBX14AaABAg,n8iP75gIpmw,Quorum,UCLFdHr9BEbXHkoJopbEPLZw,1,1,-2.0,negativo,False
UgwwKfLmhHVU-Oxzqtl4AaABAg,n8iP75gIpmw,Quorum,UCNkcuy42zEwddwEcOd_HpnA,1,2,-1.0,negativo,True
UgwwPrhCy2levkb6TRd4AaABAg,ndAZjHqzzT8,Quorum,UCJp3OrVYcBorC94sKwdch_A,3,14,-0.42857142857142855,neutro,True
UgwxjmtBoAozs0ZUAcd4AaABAg,is3Mk5oC19g,TN23 Guatemala,UCdFlugHJJa4l3YqWuNRmvXw,10,1,-1.0,negativo,False
UgwxjmtBoAozs0ZUAcd4AaABAg.AaAbqoGVGipAaAjNG9oPRN,is3Mk5oC19g,TN23 Guatemala,UCLh1Kde4_vI1sTZBkTNP7RQ,10,0,,sin señal léxica,False
UgwypjUeZBU45DrrW0d4AaABAg,n8iP75gIpmw,Quorum,UCThW2XNsAaBKme5PUt7n-Zg,1,5,-1.2,negativo,True
Ugwz_6qtdDTbTWEUQQ94AaABAg,n8iP75gIpmw,Quorum,UC6YSZqL0vEcI-niPKIMUGfw,1,2,0.0,neutro,True
Ugx-G2kCu5aSwh3IR5l4AaABAg,n8iP75gIpmw,Quorum,UCNBnKqWf4d-rS4HwJRQljmQ,1,3,-0.3333333333333333,neutro,True
Ugx-cQ3Wf3whk_hssDR4AaABAg,06mFNPU0aB8,Noti7,UCO0zwwLWGyDgQmWPJ5Qrr1w,8,0,,sin señal léxica,False
Ugx-hH6Ysw9sdv3kHPN4AaABAg,j43HgwYFKfk,Quorum,UCwjUvRseNtJoItylIyIez7Q,2,0,,sin señal léxica,False
Ugx1reCoIQcnK3ii2GR4AaABAg,n8iP75gIpmw,Quorum,UCTwSut16JyAg3mX6LVUNGqA,1,2,-1.5,negativo,True
Ugx2ApaAMqe4ca4SCYx4AaABAg,n8iP75gIpmw,Quorum,UCLggDc_a5HriXv7I1h02sOA,1,1,-1.0,negativo,True
Ugx2LwWBVc3mFGJAinB4AaABAg,n8iP75gIpmw,Quorum,UC5H8ASmMC9WrURmzeB4ySog,1,1,2.0,positivo,False
Ugx2byJzZBZkDMQMUqV4AaABAg,n8iP75gIpmw,Quorum,UCwO2SXr0ggzwg6QWWrr01nQ,1,1,-1.0,negativo,True
Ugx3uDgmZQhx3Z3VOzt4AaABAg,j43HgwYFKfk,Quorum,UC816IGbFCZinfYS1LRDaaHg,2,0,,sin señal léxica,False
Ugx3yIUZXGeiOVESIEl4AaABAg,n8iP75gIpmw,Quorum,UC3qn1yJA5PeW9rkGPatQxiw,1,1,2.0,positivo,False
Ugx4dn4xlUl9Jp9QJeJ4AaABAg,6W4u8sGEnGM,Gobierno de la República de Guatemala,UCaT4saRcyqCLE657Rq2hhZQ,4,0,,sin señal léxica,False
Ugx6Wjc02tqpQUBf4NJ4AaABAg,yLZS3JiEBg8,Quorum,UCc_F88PzGWtA1OPNUEASulA,3,0,,sin señal léxica,False
Ugx74OPnWkWaFjpFuA94AaABAg,n8iP75gIpmw,Quorum,UCErZPJpHmLCsXs8ZWkAUupQ,1,2,0.5,neutro,True
